path,regime,src,tgt,phase,lwf_weight,lwf_pi_weight,long_horizon_gamma,val_MR_epoch,val_minADE1_epoch,val_minADE6_epoch,val_minFDE1_epoch,val_minFDE6_epoch,pretrained_weights,lr,lr2,ttt_frequency,desc,bug_note,log_file
2026-06-03/21-42-17_i2nm_src,short,INTER,-,source_baseline,-,-,-,0.302,0.907,0.577,2.68,1.508,outputs/forecast-mae-ttt-test_False/2025-12-11/09-58-41_NLL_13_tr_inter_vl_lyftsample/checkpoints/epoch=1185.ckpt,0.0001,0.01,999999,Baseline INTER source (no TTT),-,2026-06-03/21-42-17_i2nm_src/test.log
2026-05-10/23-17-34_noTTT_inter2nusm,short,INTER,nusm,target_noTTT,-,-,-,0.382,1.77,1.129,4.214,2.192,outputs/forecast-mae-ttt-test_False/2025-12-11/09-58-41_NLL_13_tr_inter_vl_lyftsample/checkpoints/epoch=1185.ckpt,0.0001,0.01,999999,inter->nusm no-TTT target,-,2026-05-10/23-17-34_noTTT_inter2nusm/test.log
2026-05-10/23-19-45_noTTT_inter2nus,short,INTER,nus,target_noTTT,-,-,-,0.299,1.31,0.911,2.853,1.809,outputs/forecast-mae-ttt-test_False/2025-12-11/09-58-41_NLL_13_tr_inter_vl_lyftsample/checkpoints/epoch=1185.ckpt,0.0001,0.01,999999,inter->nus no-TTT target,-,2026-05-10/23-19-45_noTTT_inter2nus/test.log
2026-05-11/10-00-46_noTTT_inter2lyft,short,INTER,lyft,target_noTTT,-,-,-,0.267,0.933,0.745,1.999,1.506,outputs/forecast-mae-ttt-test_False/2025-12-11/09-58-41_NLL_13_tr_inter_vl_lyftsample/checkpoints/epoch=1185.ckpt,0.0001,0.01,999999,inter->lyft no-TTT target,-,2026-05-11/10-00-46_noTTT_inter2lyft/test.log
2026-05-11/11-09-06_withTTT_inter2nusm,short,INTER,nusm,target_withTTT,0,0,-,0.326,1.606,0.953,3.985,2.049,outputs/forecast-mae-ttt-test_False/2025-12-11/09-58-41_NLL_13_tr_inter_vl_lyftsample/checkpoints/epoch=1185.ckpt,0.0001,0.01,12,inter->nusm baseline TTT (5/11),-,2026-05-11/11-09-06_withTTT_inter2nusm/test.log
2026-05-11/11-12-18_withTTT_inter2nus,short,INTER,nus,target_withTTT,0,0,-,0.215,1.268,0.686,2.902,1.471,outputs/forecast-mae-ttt-test_False/2025-12-11/09-58-41_NLL_13_tr_inter_vl_lyftsample/checkpoints/epoch=1185.ckpt,0.0001,0.01,12,inter->nus baseline TTT,-,2026-05-11/11-12-18_withTTT_inter2nus/test.log
2026-05-11/11-26-13_withTTT_inter2lyft,short,INTER,lyft,target_withTTT,0,0,-,0.184,0.912,0.571,2.051,1.247,outputs/forecast-mae-ttt-test_False/2025-12-11/09-58-41_NLL_13_tr_inter_vl_lyftsample/checkpoints/epoch=1185.ckpt,0.0001,0.01,12,inter->lyft baseline TTT (5/11),-,2026-05-11/11-26-13_withTTT_inter2lyft/test.log
2026-05-11/15-05-40_forgetting_inter2lyft2inter,short,INTER,lyft,forgetting,0,0,-,0.365,1.341,0.72,3.71,1.898,outputs/forecast-mae-ttt-test_True/2026-05-11/11-12-18_withTTT_inter2nus/adapted_model.ckpt,0.0001,0.01,999999,inter->lyft->inter (5/11),CKPT_BUG:loaded_inter2nus,2026-05-11/15-05-40_forgetting_inter2lyft2inter/test.log
2026-05-12/18-55-30_forgetting_inter2nus,short,INTER,nus,forgetting,0,0,-,0.365,1.341,0.72,3.71,1.898,outputs/forecast-mae-ttt-test_True/2026-05-11/11-12-18_withTTT_inter2nus/adapted_model.ckpt,0.0001,0.01,999999,inter->nus->inter (5/12),-,2026-05-12/18-55-30_forgetting_inter2nus/test.log
2026-06-03/21-50-57_i2nm_baseline_tgt,short,INTER,nusm,target_withTTT,0,0,-,0.326,1.606,0.953,3.985,2.049,outputs/forecast-mae-ttt-test_False/2025-12-11/09-58-41_NLL_13_tr_inter_vl_lyftsample/checkpoints/epoch=1185.ckpt,0.0001,0.01,12,inter->nusm baseline TTT (repro today),-,2026-06-03/21-50-57_i2nm_baseline_tgt/test.log
